Command Line Args: Namespace(config_file='./configs/C100_WRN28x10-BN-ReLU/C100_WRN28x10-BN-ReLU_SGD.yaml', weight_file='./outputs/C100_WRN28x10-BN-ReLU/SGD_20211016b/best_acc1.pth.tar', ensemble_size=4, ensemble_progress=True, opts=[])

Standard metrics on test examples:
  # Ens     ACC     NLL     ECE     ENT     KLD
-------  ------  ------  ------  ------  ------
      1  0.8050  0.8007  0.0584  0.6338  0.0000
      2  0.8168  0.7091  0.0260  0.7254  0.3456
      3  0.8236  0.6764  0.0227  0.7526  0.3521
      4  0.8248  0.6599  0.0213  0.7614  0.3557

Calibrated metrics on test examples:
  # Ens     ACC     NLL     ECE     ENT      TS
-------  ------  ------  ------  ------  ------
      1  0.8050  0.7922  0.0398  0.8383  1.1453
      2  0.8168  0.7093  0.0252  0.7369  1.0078
      3  0.8236  0.6745  0.0251  0.6990  0.9641
      4  0.8248  0.6564  0.0238  0.6784  0.9445

